dataset,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,NumberOfClasses,NumberOfCategoricalFeatures,PercentageOfCategoricalFeatures,NumberOfNumericFeatures,PercentageOfNumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,NumberOfBinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime
analcatdata_bankruptcy.arff,50,3.912023005,7,1.945910149,0.14,-1.966112856,7.142857143,1.966112856,2,1,16.66666667,5,83.33333333,5,0.2,0.5,0.5,0.5,0,0,50,50,50,0,50,0,0,0,0,0,0,25,50,0.002039709,1.258386074,23.24558264,7.510725552,8.017131848,-2.23526001,4.51296854,0.067826509,2.516373248,37.07205038,27.88015622,-2.588350773,0.006550598,-1,-1,-1,-1,-1,-1,0.008590307
analcatdata_birthday.arff,365,5.899897354,4,1.386294361,0.010958904,-4.513602992,91.25,4.513602992,2,2,66.66666667,1,33.33333333,0.5,2,0.145205479,0.854794521,0.5,0.354794521,0,31,41,36,5,72,30,2.054794521,30,8.219178082,1,0.273972603,312,85.47945205,0.002338146,-0.694118964,-0.694118964,-0.694118964,0,-0.330083668,-0.330083668,-0.330083668,0,816.7608643,0,9132.162109,0.001188613,0.597710801,5.62676,0.006885752,86.80399483,816.1600213,0.001894439,0.005421198
analcatdata_bondrate.arff,57,4.043051268,12,2.48490665,0.210526316,-1.558144618,4.75,1.558144618,2,7,63.63636364,4,36.36363636,0.571428571,1.75,0.421052632,0.578947368,0.5,0.078947368,1,2,57,13,18.17376445,91,1,0.14619883,1,1.754385965,1,1.754385965,33,57.89473684,0.0023792,-1,-1,-1,-1,-1,-1,-1,-1,781314.9417,1344376.636,607880.2388,0.111165938,0.981940787,3.49872,0.157718905,6.225891493,21.18329013,0.024155181,0.137700319
analcatdata_boxing1.arff,120,4.787491743,4,1.386294361,0.033333333,-3.401197382,30,3.401197382,2,3,100,0,0,0,0,0.35,0.65,0.5,0.15,1,2,12,8,4.320493799,24,0,0,0,0,0,0,78,65,0.009247972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.934068055,4.22138,0.132089079,7.071501006,30.95860436,0.012227993,0.021475965
analcatdata_boxing2.arff,132,4.882801923,4,1.386294361,0.03030303,-3.496507561,33,3.496507561,2,3,100,0,0,0,0,0.462121212,0.537878788,0.5,0.037878788,1,2,12,8.333333333,4.496912521,25,0,0,0,0,0,0,71,53.78787879,0.007379587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.995856066,4.28697,0.107583595,9.256579181,38.84776976,0.004364828,0.011744415
analcatdata_broadway.arff,95,4.553876892,10,2.302585093,0.105263158,-2.251291799,9.5,2.251291799,2,6,66.66666667,3,33.33333333,0.5,2,0.284210526,0.715789474,0.5,0.215789474,1,2,95,19.33333333,33.87558938,116,9,0.947368421,6,6.315789474,3,3.157894737,68,71.57894737,0.003502284,-1,-1,-1,-1,-1,-1,-1,-1,7.068780939,8.195329207,27.33450627,0.004412594,0.861124706,3.91489,0.244618189,3.520280762,15.00406939,0.007763291,0.015678169
analcatdata_broadwaymult.arff,285,5.65248918,8,2.079441542,0.028070175,-3.573047639,35.625,3.573047639,2,4,57.14285714,3,42.85714286,0.75,1.333333333,0.414035088,0.585964912,0.5,0.085964912,1,2,95,25.75,39.98359038,103,27,1.184210526,18,6.315789474,3,1.052631579,167,58.59649123,0.002919623,-1,-1,-1,-1,-1,-1,-1,-1,7.068782012,8.195331146,27.33451923,0.003173451,0.978570752,5.16641,0.081560981,11.99802585,62.34408494,0.004204952,0.010298026
analcatdata_creditscore.arff,100,4.605170186,7,1.945910149,0.07,-2.659260037,14.28571429,2.659260037,2,3,50,3,50,1,1,0.27,0.73,0.5,0.23,2,2,6,3.333333333,1.885618083,10,0,0,0,0,0,0,73,73,0.002929097,-0.118113016,13.75127354,5.975671671,5.785692272,0.636761367,3.241248369,1.910453856,1.064043739,100.7266392,135.8183305,74.82414961,0.007325111,0.841464636,2.63547,0.035124869,23.95637811,74.03147269,0.007335769,0.017589977
analcatdata_cyyoung8092.arff,97,4.574710979,11,2.397895273,0.113402062,-2.176815706,8.818181818,2.176815706,2,3,30,7,70,2.333333333,0.428571429,0.24742268,0.75257732,0.5,0.25257732,2,2,62,22,28.28427125,66,0,0,0,0,0,0,73,75.25773196,0.004761559,-1.773983398,0.802694949,-0.744679028,0.979650761,-0.934418857,0.768750131,-0.020000247,0.468006618,25.37761445,31.2282063,332.0254507,0.014431131,0.807167555,4.04914,0.175511197,4.598951911,22.07053171,0.004109815,0.023302505
analcatdata_cyyoung9302.arff,92,4.521788577,11,2.397895273,0.119565217,-2.123893304,8.363636364,2.123893304,2,4,40,6,60,1.5,0.666666667,0.206521739,0.793478261,0.5,0.293478261,2,2,59,18,23.84323804,72,0,0,0,0,0,0,73,79.34782609,0.009330871,-1.848821427,0.825483826,-0.920736615,0.988309395,-1.027024388,0.667209387,-0.089428688,0.517246666,33.24923208,36.64806511,57.84371153,0.011733362,0.734781352,4.10896,0.12160147,6.042536774,32.79041762,0.006105706,0.02716994
analcatdata_dmft.arff,797,6.680854679,5,1.609437912,0.006273526,-5.071416766,159.4,5.071416766,2,4,100,0,0,0,0,0.194479297,0.805520703,0.5,0.305520703,1,2,9,5.25,2.861380786,21,0,0,0,0,0,0,642,80.55207026,0.002811459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.710748319,6.24364,0.003912427,181.6642957,1594.847753,0.006165315,0.008976774
analcatdata_draft.arff,366,5.902633333,6,1.791759469,0.016393443,-4.110873864,61,4.110873864,2,2,40,3,60,1.5,0.666666667,0.087431694,0.912568306,0.5,0.412568306,0,12,12,12,0,24,1,0.045537341,1,0.273224044,1,0.273224044,334,91.2568306,0.002141951,-1,-1,-1,-1,-1,-1,-1,-1,105.5584819,0.136085543,183.3333333,0.003239771,0.427838544,5.66177,0.025941038,16.4927302,217.2554409,0.002212613,0.007594335
analcatdata_election2000.arff,67,4.204692619,16,2.772588722,0.23880597,-1.432103897,4.1875,1.432103897,2,1,6.666666667,14,93.33333333,14,0.071428571,0.268656716,0.731343284,0.5,0.231343284,0,67,67,67,0,67,0,0,0,0,0,0,49,73.13432836,0.001840752,2.977817505,61.99440513,20.23685849,20.55366078,1.842546105,7.998978138,3.862845421,2.135300904,27502.44984,39241.26335,18328.497,0.018176191,-1,-1,-1,-1,-1,-1,0.020016943
analcatdata_gsssexsurvey.arff,159,5.068904202,10,2.302585093,0.062893082,-2.766319109,15.9,2.766319109,2,5,55.55555556,4,44.44444444,0.8,1.25,0.220125786,0.779874214,0.5,0.279874214,5,2,2,2,0,10,6,0.377358491,6,3.773584906,1,0.628930818,124,77.98742138,0.002753825,-1,-1,-1,-1,-1,-1,-1,-1,4296.408594,7431.488494,6153.014458,0.004018626,0.760397118,3.53779,0.010298868,73.83307461,342.5122022,0.006451514,0.013223965
analcatdata_gviolence.arff,74,4.304065093,10,2.302585093,0.135135135,-2.00148,7.4,2.00148,2,1,11.11111111,8,88.88888889,8,0.125,0.418918919,0.581081081,0.5,0.081081081,0,74,74,74,0,74,0,0,0,0,0,0,43,58.10810811,0.001796934,-0.664569387,7.960043476,2.209739424,2.72744013,-1.14495182,2.230284691,1.015227776,1.007605977,105.1678627,183.5102708,926.3952468,0.007231553,-1,-1,-1,-1,-1,-1,0.009028487
analcatdata_halloffame.arff,1340,7.200424893,18,2.890371758,0.013432836,-4.310053135,74.44444444,4.310053135,2,2,11.76470588,15,88.23529412,7.5,0.133333333,0.093283582,0.906716418,0.5,0.406716418,0,7,1339,673,666,1346,20,0.08291874,20,1.492537313,1,0.074626866,1215,90.67164179,0.002625134,-1,-1,-1,-1,-1,-1,-1,-1,324.8082877,514.7868493,637.4240568,0.01538447,0.447336044,6.96959,0.15855836,2.82127063,42.95602019,0.002734482,0.020744085
analcatdata_japansolvent.arff,52,3.951243719,10,2.302585093,0.192307692,-1.648658626,5.2,1.648658626,2,1,11.11111111,8,88.88888889,8,0.125,0.480769231,0.519230769,0.5,0.019230769,0,52,52,52,0,52,0,0,0,0,0,0,27,51.92307692,0.001742063,2.13647399,14.93027571,8.013696431,4.866914843,-3.477843046,1.471257687,-1.841171302,1.812080846,0.487602782,0.289760683,0.142318007,0.006834428,-1,-1,-1,-1,-1,-1,0.00857649
analcatdata_lawsuit.arff,264,5.575949103,5,1.609437912,0.018939394,-3.966511191,52.8,3.966511191,2,1,25,3,75,3,0.333333333,0.071969697,0.928030303,0.5,0.428030303,1,2,2,2,0,2,0,0,0,0,0,0,245,92.8030303,0.001701008,-0.670664518,0.975826699,0.332882927,0.71891566,-0.968995631,0.939095199,-0.070813502,0.782970742,8.863572598,3.012078001,22.79069328,0.002845803,0.373231552,4.57471,0.028955382,12.88988514,156.9917268,0.002081554,0.006628365
analcatdata_marketing.arff,364,5.897153868,33,3.496507561,0.090659341,-2.400646306,11.03030303,2.400646306,2,32,100,0,0,0,0,0.315934066,0.684065934,0.5,0.184065934,0,5,20,7.4375,3.454503401,238,80,0.666000666,36,9.89010989,23,6.318681319,249,68.40659341,0.00796817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.899904978,5.67804,0.005842289,154.032954,970.8861724,0.031200409,0.039168579
analcatdata_michiganacc.arff,108,4.682131227,5,1.609437912,0.046296296,-3.072693315,21.6,3.072693315,2,2,50,2,50,1,1,0.444444444,0.555555556,0.5,0.055555556,0,4,12,8,4,16,0,0,0,0,0,0,60,55.55555556,0.0022663,-1.200205965,-0.786728181,-0.993467073,0.206738892,0,0.402080983,0.201040491,0.201040491,16.95491123,14.22066784,32.86203671,0.001965495,0.99107606,4.37388,0.084763886,11.69219701,50.60075322,0.002027867,0.006259662
analcatdata_neavote.arff,100,4.605170186,4,1.386294361,0.04,-3.218875825,25,3.218875825,2,2,66.66666667,1,33.33333333,0.5,2,0.07,0.93,0.5,0.43,0,3,99,51,48,102,0,0,0,0,0,0,93,93,0.002061816,-1.863907343,-1.863907343,-1.863907343,0,0.108219527,0.108219527,0.108219527,0,3.947961569,0,5.559999943,0.001339016,0.365923651,4.20625,0.13547694,2.701003212,30.04774172,0.002706849,0.00610768
analcatdata_negotiation.arff,92,4.521788577,6,1.791759469,0.065217391,-2.730029108,15.33333333,2.730029108,2,1,20,4,80,4,0.25,0.282608696,0.717391304,0.5,0.217391304,1,2,2,2,0,2,26,4.710144928,17,18.47826087,4,4.347826087,66,71.73913043,0.001653637,-1,-1,-1,-1,-1,-1,-1,-1,14.41065574,1.922280828,57.52932167,0.005236846,-1,-1,-1,-1,-1,-1,0.006890483
analcatdata_olympic2000.arff,66,4.189654742,13,2.564949357,0.196969697,-1.624705385,5.076923077,1.624705385,2,1,8.333333333,11,91.66666667,11,0.090909091,0.5,0.5,0.5,0,0,66,66,66,0,66,0,0,0,0,0,0,33,50,0.001684033,-0.85714967,25.76434176,8.025804169,8.790338063,-0.027032563,5.0662117,2.292694663,1.61343148,121318.1997,327018.329,45455.76975,0.013998873,-1,-1,-1,-1,-1,-1,0.015682906
analcatdata_reviewer.arff,379,5.937536205,9,2.197224577,0.023746702,-3.740311628,42.11111111,3.740311628,2,8,100,0,0,0,0,0.430079156,0.569920844,0.5,0.069920844,0,108,379,221,82.96987405,1768,1368,40.1055409,367,96.83377309,7,1.846965699,216,56.99208443,0.002927913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.985847205,4.87909,0.095940207,10.27564182,49.85553232,0.009428376,0.012356289
analcatdata_runshoes.arff,60,4.094344562,11,2.397895273,0.183333333,-1.696449289,5.454545455,1.696449289,2,6,60,4,40,0.666666667,1.5,0.4,0.6,0.5,0.1,5,2,5,2.5,1.118033989,15,14,2.121212121,14,23.33333333,1,1.666666667,36,60,0.002459336,-1,-1,-1,-1,-1,-1,-1,-1,12.89283651,9.201213624,28.7969383,0.004199425,0.970950594,3.05718,0.030366771,31.97411396,99.6751027,0.00616492,0.012823681
analcatdata_seropositive.arff,132,4.882801923,4,1.386294361,0.03030303,-3.496507561,33,3.496507561,2,1,33.33333333,2,66.66666667,2,0.5,0.348484848,0.651515152,0.5,0.151515152,0,3,3,3,0,3,0,0,0,0,0,0,86,65.15151515,0.002251694,-1.20124031,1.888952202,0.343855946,1.545096256,0,1.547720909,0.773860455,0.773860455,42.40143204,29.70300674,53.35984802,0.002010892,0.932707613,4.4207,0.167873612,5.556010852,25.33352451,0.000986892,0.005249479
analcatdata_supreme.arff,4052,8.306965865,8,2.079441542,0.001974334,-6.227524324,506.5,6.227524324,2,0,0,7,100,0,0,0.239634748,0.760365252,0.5,0.260365252,0,0,0,0,0,0,0,0,0,0,0,0,3081,76.03652517,0.002581316,-1.993753446,77.57555394,17.01906103,28.15614051,-0.170584753,7.965889931,2.746967609,3.007768772,1.757578824,3.306990073,281.9487789,0.007923957,-1,-1,-1,-1,-1,-1,0.010505273
analcatdata_uktrainacc.arff,31,3.433987204,17,2.833213344,0.548387097,-0.60077386,1.823529412,0.60077386,2,0,0,16,100,0,0,0.129032258,0.870967742,0.5,0.370967742,0,0,0,0,0,0,150,28.4629981,25,80.64516129,6,19.35483871,27,87.09677419,0.001738905,-1,-1,-1,-1,-1,-1,-1,-1,4.759694305,6.266031452,8.878730508,0.013193568,-1,-1,-1,-1,-1,-1,0.014932473
analcatdata_vehicle.arff,48,3.871201011,5,1.609437912,0.104166667,-2.261763098,9.6,2.261763098,2,4,100,0,0,0,0,0.4375,0.5625,0.5,0.0625,3,2,6,3,1.732050808,12,0,0,0,0,0,0,27,56.25,0.002415913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.988699408,3.27584,0.091911282,10.75710602,34.64131116,0.00334675,0.005762663
analcatdata_vineyard.arff,468,6.148468296,4,1.386294361,0.008547009,-4.762173935,117,4.762173935,2,1,33.33333333,2,66.66666667,2,0.5,0.444444444,0.555555556,0.5,0.055555556,0,9,9,9,0,9,0,0,0,0,0,0,260,55.55555556,0.001869964,-1.214285714,-1.20088821,-1.207586962,0.006698752,0,0,0,0,9.374994397,5.633336902,16.75,0.001988786,-1,-1,-1,-1,-1,-1,0.00385875
analcatdata_wildcat.arff,163,5.093750201,6,1.791759469,0.036809816,-3.301990732,27.16666667,3.301990732,2,2,40,3,60,1.5,0.666666667,0.288343558,0.711656442,0.5,0.211656442,2,2,2,2,0,4,0,0,0,0,0,0,116,71.16564417,0.001787065,-0.557381869,10.64315178,3.546616023,5.038481961,-0.522688568,2.951715231,1.161261698,1.420417227,77.8904132,92.46488954,82.04993184,0.002759351,0.866571888,4.55415,0.064650626,13.40392111,69.44254162,0.002051157,0.006597574
anneal.arff,898,6.800170068,39,3.663561646,0.043429844,-3.136608422,23.02564103,3.136608422,2,32,84.21052632,6,15.78947368,0.1875,5.333333333,0.23830735,0.76169265,0.5,0.26169265,1,1,898,694.5,305.3014903,22224,22175,63.31734338,898,100,29,3.229398664,684,76.16926503,0.007154576,-0.973652362,13.13533849,4.615511066,5.880870536,0.072868697,3.755315542,2.023595074,1.334599418,404.9478223,669.8836117,348.504134,0.006907063,0.792214112,-1,0.012314794,64.33027825,-1,0.18526459,0.199326229
AP_Breast_Kidney.arff,604,6.403574198,10937,9.299906815,18.10761589,2.896332617,0.055225382,-2.896332617,2,0,0,10936,100,0,0,0.430463576,0.569536424,0.5,0.069536424,0,0,0,0,0,0,0,0,0,0,0,0,344,56.95364238,0.225929692,-0.955515194,598.8494726,33.42814464,72.08808385,-0.134387255,24.51068115,3.505284611,3.51436043,1914.647806,3330.876783,3349.746871,19.19242667,-1,-1,-1,-1,-1,-1,19.41835636
AP_Breast_Omentum.arff,421,6.042632834,10937,9.299906815,25.97862233,3.257273982,0.038493188,-3.257273982,2,0,0,10936,100,0,0,0.182897862,0.817102138,0.5,0.317102138,0,0,0,0,0,0,0,0,0,0,0,0,344,81.71021378,0.150588741,-0.287041187,415.9339975,28.42695147,57.10869436,-0.162779659,20.44260216,3.314052848,3.207795564,1830.645903,3256.076777,3413.046678,15.61825696,-1,-1,-1,-1,-1,-1,15.7688457
AP_Breast_Prostate.arff,413,6.023447593,10937,9.299906815,26.48184019,3.276459222,0.037761726,-3.276459222,2,0,0,10936,100,0,0,0.167070218,0.832929782,0.5,0.332929782,0,0,0,0,0,0,0,0,0,0,0,0,344,83.29297821,0.151790381,-0.507110538,407.9316618,25.90810905,52.09126052,-0.065251827,20.24589729,3.169234099,3.024574961,1840.870343,3253.733306,3393.43834,16.09228116,-1,-1,-1,-1,-1,-1,16.24407154
AP_Colon_Kidney.arff,546,6.302618976,10937,9.299906815,20.03113553,2.99728784,0.049922282,-2.99728784,2,0,0,10936,100,0,0,0.476190476,0.523809524,0.5,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,286,52.38095238,0.195934871,-0.928734304,540.8758726,25.9856523,66.55423129,-0.243384823,23.29833984,2.897923784,3.343587111,1842.639204,3313.855619,3422.167047,15.84593621,-1,-1,-1,-1,-1,-1,16.04187109
AP_Colon_Omentum.arff,363,5.894402834,10937,9.299906815,30.12947658,3.405503981,0.033190089,-3.405503981,2,0,0,10936,100,0,0,0.212121212,0.787878788,0.5,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,286,78.78787879,0.136012733,-1.162925336,357.7024453,22.64059586,53.50062632,-0.324249178,18.96185303,2.753426362,3.132299921,1698.122373,3200.522135,3529.283804,15.35727127,-1,-1,-1,-1,-1,-1,15.493284
AP_Colon_Ovary.arff,484,6.182084907,10937,9.299906815,22.59710744,3.117821909,0.044253452,-3.117821909,2,0,0,10936,100,0,0,0.409090909,0.590909091,0.5,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,286,59.09090909,0.17479445,-1.037997763,478.6814031,31.12547329,71.3639438,-0.155494794,21.92082024,3.233718381,3.620159851,1963.435826,5731.802786,3521.374664,15.55434383,-1,-1,-1,-1,-1,-1,15.72913828
AP_Colon_Prostate.arff,355,5.872117789,10937,9.299906815,30.8084507,3.427789026,0.032458627,-3.427789026,2,0,0,10936,100,0,0,0.194366197,0.805633803,0.5,0.305633803,0,0,0,0,0,0,0,0,0,0,0,0,286,80.56338028,0.128688807,-1.148251279,349.6461938,17.0829233,43.28824584,-0.349031568,18.7474556,2.383179652,2.684602637,1697.310544,3195.721524,3514.206799,15.26323541,-1,-1,-1,-1,-1,-1,15.39192422
AP_Endometrium_Breast.arff,405,6.003887067,10937,9.299906815,27.00493827,3.296019748,0.037030264,-3.296019748,2,0,0,10936,100,0,0,0.150617284,0.849382716,0.5,0.349382716,0,0,0,0,0,0,0,0,0,0,0,0,344,84.9382716,0.149543424,-0.364369475,399.9381601,27.73783962,53.51013363,-0.061313011,20.04759598,3.302071308,3.132299513,1822.796581,3198.761553,3399.691049,15.50403007,-1,-1,-1,-1,-1,-1,15.6535735
AP_Endometrium_Lung.arff,187,5.231108617,10937,9.299906815,58.48663102,4.068798198,0.017097924,-4.068798198,2,0,0,10936,100,0,0,0.326203209,0.673796791,0.5,0.173796791,0,0,0,0,0,0,0,0,0,0,0,0,126,67.37967914,0.081799571,-1.392444928,181.8408197,16.18650855,27.05330647,-0.298256248,13.55575275,2.678184424,2.316792525,1849.248323,3283.104785,3400.957394,14.98576427,-1,-1,-1,-1,-1,-1,15.06756384
AP_Endometrium_Prostate.arff,130,4.86753445,10937,9.299906815,84.13076923,4.432372365,0.011886258,-4.432372365,2,0,0,10936,100,0,0,0.469230769,0.530769231,0.5,0.030769231,0,0,0,0,0,0,0,0,0,0,0,0,69,53.07692308,0.050495341,-1.701968371,124.8682676,9.796850772,17.67865459,-0.87444979,11.26045704,2.096216729,1.841236539,1598.280439,2839.588104,3379.713326,21.28628251,-1,-1,-1,-1,-1,-1,21.33677785
AP_Lung_Uterus.arff,250,5.521460918,10937,9.299906815,43.748,3.778445897,0.022858188,-3.778445897,2,0,0,10936,100,0,0,0.496,0.504,0.5,0.004,0,0,0,0,0,0,0,0,0,0,0,0,126,50.4,0.09438995,-1.29427648,244.7510655,19.63700806,34.94386438,-0.324169457,15.70429707,2.866448743,2.603115018,1869.544057,3278.22956,3407.908588,15.25773053,-1,-1,-1,-1,-1,-1,15.35212048
AP_Omentum_Kidney.arff,337,5.82008293,10937,9.299906815,32.45400593,3.479823885,0.030812837,-3.479823885,2,0,0,10936,100,0,0,0.228486647,0.771513353,0.5,0.271513353,0,0,0,0,0,0,0,0,0,0,0,0,260,77.15133531,0.127591777,-1.126905327,331.7488568,23.21844045,47.35689638,-0.437136561,18.26533127,3.010110209,2.95907399,1819.723554,3283.815195,3340.699262,15.33609769,-1,-1,-1,-1,-1,-1,15.46368946
