dataset,#Instances,Log#Instances,#Features,Log#Features,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,#Classes,#CategoricalFeatures,%CategoricalFeatures,#NumericFeatures,%NumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,#BinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,#MissingValues,%MissingValues,#InstancesWithMissingValues,%InstancesWithMissingValues,#FeaturesWithMissingValues,%FeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime,DecisionTreeGiniDepth1Accuracy,DecisionTreeGiniDepth1TimeSum,DecisionTreeGiniDepth1TimeMean,DecisionTreeEntropyDepth1Accuracy,DecisionTreeEntropyDepth1TimeSum,DecisionTreeEntropyDepth1TimeMean,DecisionTreeGiniDepth2Accuracy,DecisionTreeGiniDepth2TimeSum,DecisionTreeGiniDepth2TimeMean,DecisionTreeEntropyDepth2Accuracy,DecisionTreeEntropyDepth2TimeSum,DecisionTreeEntropyDepth2TimeMean,DecisionTreeGiniDepth4Accuracy,DecisionTreeGiniDepth4TimeSum,DecisionTreeGiniDepth4TimeMean,DecisionTreeEntropyDepth4Accuracy,DecisionTreeEntropyDepth4TimeSum,DecisionTreeEntropyDepth4TimeMean,DecisionTreeGiniAccuracy,DecisionTreeGiniTimeSum,DecisionTreeGiniTimeMean,GaussianNBAccuracy,GaussianNBTimeSum,GaussianNBTimeMean,1NNAccuracy,1NNTimeSum,1NNTimeMean
analcatdata_boxing1.arff,120,4.787491743,4,1.386294361,0.033333333,-3.401197382,30,3.401197382,2,3,100,0,0,0,0,0.35,0.65,0.5,0.15,1,2,12,8,4.320493799,24,0,0,0,0,0,0,78,65,0.002018786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.934068055,4.22138,0.132089079,7.071501006,30.95860436,0.002729742,0.004748528,0.629166667,0.004009544,0.000400954,0.666666667,0.003792033,0.000379203,0.670833333,0.003786111,0.000378611,0.670833333,0.00381256,0.000381256,0.733333333,0.00401507,0.000401507,0.758333333,0.004186789,0.000418679,0.833333333,0.004391668,0.000439167,0.691666667,0.006714811,0.000671481,0.675,0.01360371,0.001360371
analcatdata_boxing2.arff,132,4.882801923,4,1.386294361,0.03030303,-3.496507561,33,3.496507561,2,3,100,0,0,0,0,0.462121212,0.537878788,0.5,0.037878788,1,2,12,8.333333333,4.496912521,25,0,0,0,0,0,0,71,53.78787879,0.002966596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.995856066,4.28697,0.107583595,9.256579181,38.84776976,0.002970939,0.005937535,0.751851852,0.004131523,0.000413152,0.766666667,0.003985463,0.000398546,0.711111111,0.004157972,0.000415797,0.725925926,0.004815637,0.000481564,0.696296296,0.004255872,0.000425587,0.696296296,0.005621335,0.000562134,0.666666667,0.011051213,0.001105121,0.62962963,0.010573953,0.001057395,0.555555556,0.017245735,0.001724574
analcatdata_broadwaymult.arff,285,5.65248918,8,2.079441542,0.028070175,-3.573047639,35.625,3.573047639,2,4,57.14285714,3,42.85714286,0.75,1.333333333,0.414035088,0.585964912,0.5,0.085964912,1,2,95,25.75,39.98359038,103,27,1.184210526,18,6.315789474,3,1.052631579,167,58.59649123,0.002269061,-1,-1,-1,-1,-1,-1,-1,-1,7.068782012,8.195331146,27.33451923,0.017342845,0.978570752,5.16641,0.081560981,11.99802585,62.34408494,0.004097574,0.023709481,0.756140351,0.004926169,0.000492617,0.756140351,0.005650152,0.000565015,0.768421053,0.005676996,0.0005677,0.756140351,0.00621426,0.000621426,0.775438596,0.008474242,0.000847424,0.766666667,0.00987997,0.000987997,0.740350877,0.010906732,0.001090673,0.745614035,0.014644683,0.001464468,0.387719298,0.025465754,0.002546575
analcatdata_creditscore.arff,100,4.605170186,7,1.945910149,0.07,-2.659260037,14.28571429,2.659260037,2,3,50,3,50,1,1,0.27,0.73,0.5,0.23,2,2,6,3.333333333,1.885618083,10,0,0,0,0,0,0,73,73,0.005035516,-0.118113016,13.75127354,5.975671671,5.785692272,0.636761367,3.241248369,1.910453856,1.064043739,100.7266392,135.8183305,74.82414961,0.006130571,0.841464636,2.63547,0.035124869,23.95637811,74.03147269,0.006611385,0.017777472,1,0.008778599,0.00087786,1,0.007262339,0.000726234,0.98,0.008165147,0.000816515,0.98,0.007327868,0.000732787,0.98,0.00748735,0.000748735,0.98,0.007012852,0.000701285,0.975,0.007085488,0.000708549,1,0.009025322,0.000902532,1,0.025153896,0.00251539
analcatdata_dmft.arff,797,6.680854679,5,1.609437912,0.006273526,-5.071416766,159.4,5.071416766,2,4,100,0,0,0,0,0.194479297,0.805520703,0.5,0.305520703,1,2,9,5.25,2.861380786,21,0,0,0,0,0,0,642,80.55207026,0.004358903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.710748319,6.24364,0.003912427,181.6642957,1594.847753,0.007304972,0.011663876,0.80625,0.008392527,0.000839253,0.80625,0.008867419,0.000886742,0.80625,0.009371918,0.000937192,0.80625,0.010106561,0.001010656,0.795,0.011547817,0.001154782,0.803125,0.011472814,0.001147281,0.70125,0.012853672,0.001285367,0.80625,0.01262274,0.001262274,0.67875,0.028751708,0.002875171
analcatdata_draft.arff,366,5.902633333,6,1.791759469,0.016393443,-4.110873864,61,4.110873864,2,2,40,3,60,1.5,0.666666667,0.087431694,0.912568306,0.5,0.412568306,0,12,12,12,0,24,1,0.045537341,1,0.273224044,1,0.273224044,334,91.2568306,0.002284062,-1,-1,-1,-1,-1,-1,-1,-1,105.5584819,0.136085543,183.3333333,0.004639181,0.427838544,5.66177,0.025941038,16.4927302,217.2554409,0.002597894,0.009521136,0.917567568,0.005692786,0.000569279,0.918918919,0.006545066,0.000654507,0.913513514,0.00747156,0.000747156,0.918918919,0.008428845,0.000842884,0.912162162,0.014348616,0.001434862,0.898648649,0.0165482,0.00165482,0.862162162,0.022674429,0.002267443,0.918918919,0.016128574,0.001612857,0.813513514,0.029846763,0.002984676
analcatdata_gsssexsurvey.arff,159,5.068904202,10,2.302585093,0.062893082,-2.766319109,15.9,2.766319109,2,5,55.55555556,4,44.44444444,0.8,1.25,0.220125786,0.779874214,0.5,0.279874214,5,2,2,2,0,10,6,0.377358491,6,3.773584906,1,0.628930818,124,77.98742138,0.004521543,-1,-1,-1,-1,-1,-1,-1,-1,4296.408594,7431.488494,6153.014458,0.006644545,0.760397118,3.53779,0.010298868,73.83307461,342.5122022,0.010051295,0.021217382,0.7625,0.006819027,0.000681903,0.7625,0.006919295,0.00069193,0.746875,0.007162465,0.000716247,0.75625,0.007565117,0.000756512,0.721875,0.008031325,0.000803132,0.7,0.008864656,0.000886466,0.6375,0.009756017,0.000975602,0.734375,0.01220114,0.001220114,0.628125,0.028437877,0.002843788
analcatdata_halloffame.arff,1340,7.200424893,18,2.890371758,0.013432836,-4.310053135,74.44444444,4.310053135,2,2,11.76470588,15,88.23529412,7.5,0.133333333,0.093283582,0.906716418,0.5,0.406716418,0,7,1339,673,666,1346,20,0.08291874,20,1.492537313,1,0.074626866,1215,90.67164179,0.003088576,-1,-1,-1,-1,-1,-1,-1,-1,324.8082877,514.7868493,637.4240568,0.016211078,0.447336044,6.96959,0.15855836,2.82127063,42.95602019,0.00291962,0.022219275,0.926492537,0.018348685,0.001834869,0.914925373,0.025705766,0.002570577,0.935447761,0.029794655,0.002979466,0.942537313,0.045108846,0.004510885,0.941044776,0.052617118,0.005261712,0.945522388,0.071684656,0.007168466,0.926865672,0.093732606,0.009373261,0.878358209,0.010890153,0.001089015,0.916044776,0.047917935,0.004791793
analcatdata_lawsuit.arff,264,5.575949103,5,1.609437912,0.018939394,-3.966511191,52.8,3.966511191,2,1,25,3,75,3,0.333333333,0.071969697,0.928030303,0.5,0.428030303,1,2,2,2,0,2,0,0,0,0,0,0,245,92.8030303,0.00174364,-0.670664518,0.975826699,0.332882927,0.71891566,-0.968995631,0.939095199,-0.070813502,0.782970742,8.863572598,3.012078001,22.79069328,0.002859617,0.373231552,4.57471,0.028955382,12.88988514,156.9917268,0.001060711,0.005663969,0.962264151,0.004546413,0.000454641,0.962264151,0.004539702,0.00045397,0.977358491,0.004726817,0.000472682,0.981132075,0.005209209,0.000520921,0.977358491,0.004802215,0.000480222,0.977358491,0.005331189,0.000533119,0.977358491,0.004924195,0.000492419,0.962264151,0.007108384,0.000710838,0.973584906,0.014964436,0.001496444
analcatdata_marketing.arff,364,5.897153868,33,3.496507561,0.090659341,-2.400646306,11.03030303,2.400646306,2,32,100,0,0,0,0,0.315934066,0.684065934,0.5,0.184065934,0,5,20,7.4375,3.454503401,238,80,0.666000666,36,9.89010989,23,6.318681319,249,68.40659341,0.006264394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.899904978,5.67804,0.005842289,154.032954,970.8861724,0.028051015,0.034315409,0.684931507,0.007132464,0.000713246,0.684931507,0.006044514,0.000604451,0.654794521,0.00861438,0.000861438,0.667123288,0.008338051,0.000833805,0.626027397,0.012628266,0.001262827,0.606849315,0.013991361,0.001399136,0.563013699,0.020421948,0.002042195,0.568493151,0.010583427,0.001058343,0.563013699,0.028152862,0.002815286
analcatdata_michiganacc.arff,108,4.682131227,5,1.609437912,0.046296296,-3.072693315,21.6,3.072693315,2,2,50,2,50,1,1,0.444444444,0.555555556,0.5,0.055555556,0,4,12,8,4,16,0,0,0,0,0,0,60,55.55555556,0.001806012,-1.200205965,-0.786728181,-0.993467073,0.206738892,0,0.402080983,0.201040491,0.201040491,16.95491123,14.22066784,32.86203671,0.002006153,0.99107606,4.37388,0.084763886,11.69219701,50.60075322,0.001929965,0.005742131,0.7,0.004000464,0.000400046,0.7,0.004073889,0.000407389,0.745454545,0.004204159,0.000420416,0.745454545,0.005084861,0.000508486,0.727272727,0.004494305,0.00044943,0.722727273,0.005016173,0.000501617,0.709090909,0.005183945,0.000518394,0.804545455,0.008853998,0.0008854,0.709090909,0.01442283,0.001442283
analcatdata_neavote.arff,100,4.605170186,4,1.386294361,0.04,-3.218875825,25,3.218875825,2,2,66.66666667,1,33.33333333,0.5,2,0.07,0.93,0.5,0.43,0,3,99,51,48,102,0,0,0,0,0,0,93,93,0.001978915,-1.863907343,-1.863907343,-1.863907343,0,0.108219527,0.108219527,0.108219527,0,3.947961569,0,5.559999943,0.001371779,0.365923651,4.20625,0.13547694,2.701003212,30.04774172,0.003456884,0.006807579,0.95,0.003969673,0.000396967,0.95,0.004186,0.0004186,0.95,0.003871774,0.000387177,0.95,0.004539307,0.000453931,0.92,0.004602468,0.000460247,0.92,0.004240476,0.000424048,0.865,0.004989724,0.000498972,0.91,0.009692461,0.000969246,0.86,0.018975559,0.001897556
analcatdata_reviewer.arff,379,5.937536205,9,2.197224577,0.023746702,-3.740311628,42.11111111,3.740311628,2,8,100,0,0,0,0,0.430079156,0.569920844,0.5,0.069920844,0,108,379,221,82.96987405,1768,1368,40.1055409,367,96.83377309,7,1.846965699,216,56.99208443,0.00319595,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.985847205,4.87909,0.095940207,10.27564182,49.85553232,0.00822594,0.01142189,0.547368421,0.005153943,0.000515394,0.547368421,0.00503828,0.000503828,0.573684211,0.005302372,0.000530237,0.572368421,0.00591306,0.000591306,0.569736842,0.006330318,0.000633032,0.575,0.007604988,0.000760499,0.572368421,0.010015767,0.001001577,0.589473684,0.009277966,0.000927797,0.505263158,0.017441535,0.001744153
analcatdata_seropositive.arff,132,4.882801923,4,1.386294361,0.03030303,-3.496507561,33,3.496507561,2,1,33.33333333,2,66.66666667,2,0.5,0.348484848,0.651515152,0.5,0.151515152,0,3,3,3,0,3,0,0,0,0,0,0,86,65.15151515,0.00182575,-1.20124031,1.888952202,0.343855946,1.545096256,0,1.547720909,0.773860455,0.773860455,42.40143204,29.70300674,53.35984802,0.002083131,0.932707613,4.4207,0.167873612,5.556010852,25.33352451,0.001047684,0.004956565,0.907407407,0.005011831,0.000501183,0.907407407,0.004020992,0.000402099,0.881481481,0.004756423,0.000475642,0.877777778,0.005940299,0.00059403,0.911111111,0.007120226,0.000712023,0.933333333,0.007240232,0.000724023,0.907407407,0.006791394,0.000679139,0.944444444,0.006780341,0.000678034,0.937037037,0.016472802,0.00164728
analcatdata_supreme.arff,4052,8.306965865,8,2.079441542,0.001974334,-6.227524324,506.5,6.227524324,2,0,0,7,100,0,0,0.239634748,0.760365252,0.5,0.260365252,0,0,0,0,0,0,0,0,0,0,0,0,3081,76.03652517,0.002551312,-1.993753446,77.57555394,17.01906103,28.15614051,-0.170584753,7.965889931,2.746967609,3.007768772,1.757578824,3.306990073,281.9487789,0.007553669,-1,-1,-1,-1,-1,-1,0.010104982,0.992478422,0.011839542,0.001183954,0.992478422,0.011050424,0.001105042,0.992478422,0.013325407,0.001332541,0.992478422,0.012968152,0.001296815,0.991491985,0.016574649,0.001657465,0.990998767,0.015320902,0.00153209,0.991245376,0.016693471,0.001669347,0.951418002,0.021143563,0.002114356,0.991368681,0.108225308,0.010822531
analcatdata_vineyard.arff,468,6.148468296,4,1.386294361,0.008547009,-4.762173935,117,4.762173935,2,1,33.33333333,2,66.66666667,2,0.5,0.444444444,0.555555556,0.5,0.055555556,0,9,9,9,0,9,0,0,0,0,0,0,260,55.55555556,0.001762983,-1.214285714,-1.20088821,-1.207586962,0.006698752,0,0,0,0,9.374994397,5.633336902,16.75,0.002055893,-1,-1,-1,-1,-1,-1,0.003818876,0.677659574,0.004596547,0.000459655,0.656382979,0.004483252,0.000448325,0.715957447,0.0053304,0.00053304,0.690425532,0.005026042,0.000502604,0.765957447,0.005684101,0.00056841,0.765957447,0.006443219,0.000644322,0.837234043,0.007078777,0.000707878,0.667021277,0.007572617,0.000757262,0.685106383,0.016250948,0.001625095
analcatdata_wildcat.arff,163,5.093750201,6,1.791759469,0.036809816,-3.301990732,27.16666667,3.301990732,2,2,40,3,60,1.5,0.666666667,0.288343558,0.711656442,0.5,0.211656442,2,2,2,2,0,4,0,0,0,0,0,0,116,71.16564417,0.001924439,-0.557381869,10.64315178,3.546616023,5.038481961,-0.522688568,2.951715231,1.161261698,1.420417227,77.8904132,92.46488954,82.04993184,0.002925937,0.866571888,4.55415,0.064650626,13.40392111,69.44254162,0.002105632,0.006956008,0.684848485,0.004194685,0.000419468,0.696969697,0.004547202,0.00045472,0.733333333,0.004351008,0.000435101,0.739393939,0.005058412,0.000505841,0.742424242,0.005058807,0.000505881,0.736363636,0.005759105,0.000575911,0.73030303,0.005251843,0.000525184,0.696969697,0.006810737,0.000681074,0.778787879,0.014035179,0.001403518
anneal.arff,898,6.800170068,39,3.663561646,0.043429844,-3.136608422,23.02564103,3.136608422,2,32,84.21052632,6,15.78947368,0.1875,5.333333333,0.23830735,0.76169265,0.5,0.26169265,1,1,898,694.5,305.3014903,22224,22175,63.31734338,898,100,29,3.229398664,684,76.16926503,0.009059666,-0.973652362,13.13533849,4.615511066,5.880870536,0.072868697,3.755315542,2.023595074,1.334599418,404.9478223,669.8836117,348.504134,0.005857005,0.792214112,-1,0.012314794,64.33027825,-1,0.034963994,0.049880665,0.787777778,0.007038512,0.000703851,0.787777778,0.007291551,0.000729155,0.938888889,0.008388974,0.000838897,0.938888889,0.009023348,0.000902335,0.984444444,0.010924496,0.00109245,0.986666667,0.011538343,0.001153834,0.982777778,0.017021908,0.001702191,0.42,0.011399389,0.001139939,0.935,0.047482123,0.004748212
AP_Breast_Kidney.arff,604,6.403574198,10937,9.299906815,18.10761589,2.896332617,0.055225382,-2.896332617,2,0,0,10936,100,0,0,0.430463576,0.569536424,0.5,0.069536424,0,0,0,0,0,0,0,0,0,0,0,0,344,56.95364238,0.296567275,-0.955515194,598.8494726,33.42814464,72.08808385,-0.134387255,24.51068115,3.505284611,3.51436043,1914.647806,3330.876783,3349.746871,20.58295062,-1,-1,-1,-1,-1,-1,20.87951789,0.970247934,7.480095184,0.748009518,0.970247934,11.69899842,1.169899842,0.95785124,12.76552124,1.276552124,0.966115702,22.80391646,2.280391646,0.950413223,20.82225804,2.082225804,0.953719008,29.81136276,2.981136276,0.953719008,20.92362327,2.092362327,0.972727273,2.315277952,0.231527795,0.949586777,16.97699042,1.697699042
AP_Breast_Omentum.arff,421,6.042632834,10937,9.299906815,25.97862233,3.257273982,0.038493188,-3.257273982,2,0,0,10936,100,0,0,0.182897862,0.817102138,0.5,0.317102138,0,0,0,0,0,0,0,0,0,0,0,0,344,81.71021378,0.186096591,-0.287041187,415.9339975,28.42695147,57.10869436,-0.162779659,20.44260216,3.314052848,3.207795564,1830.645903,3256.076777,3413.046678,22.84348884,-1,-1,-1,-1,-1,-1,23.02958543,0.964705882,5.80531232,0.580531232,0.964705882,8.971135391,0.897113539,0.967058824,7.594336189,0.759433619,0.954117647,16.1937525,1.61937525,0.954117647,14.76079048,1.476079048,0.952941176,24.41682516,2.441682516,0.954117647,15.19438964,1.519438964,0.975294118,1.476884233,0.147688423,0.877647059,6.993271372,0.699327137
